name,side,notional,coupon_pct,instrument_type,maturity_years,payment_freq,repricing_years,prepay_enabled,base_cpr,age_months,market_mortgage_rate
Cash & Central Bank Reserves,asset,150,0.5,bullet_floating,0.08333333333333333,12,0.08333333333333333,0,,,
T-Bills (3M),asset,100,4.9,bullet_fixed,0.25,1,0.25,0,,,
Floating Rate Notes (6M reset),asset,200,5.8,bullet_floating,3.0,2,0.5,0,,,
Fixed Gov Bonds (2Y),asset,200,4.1,bullet_fixed,2.0,2,2.0,0,,,
"Floating Corp Loans (3Y, qtrly reset)",asset,600,6.5,bullet_floating,3.0,4,0.25,0,,,
"Fixed Retail Loans (4Y, amortising)",asset,250,5.8,amortising,4.0,12,4.0,0,,,
Fixed Gov Bonds (5Y),asset,300,3.95,bullet_fixed,5.0,2,5.0,0,,,
"Fixed-Rate Mortgages (10Y, amortising)",asset,800,5.2,amortising,10.0,12,10.0,1,,24,
Fixed Gov Bonds (15Y),asset,200,3.5,bullet_fixed,15.0,2,15.0,0,,,
Fixed Infrastructure Bonds (20Y),asset,100,4.2,bullet_fixed,20.0,2,20.0,0,,,
Demand Deposits (Core NMD),liability,700,0.5,demand_deposit,0.08333333333333333,12,0.08333333333333333,0,,,
Retail Savings (Sticky NMD),liability,250,1.5,demand_deposit,0.25,4,0.25,0,,,
Overnight Repo,liability,100,5.1,bullet_floating,0.0027397260273972603,365,0.0027397260273972603,0,,,
Term Deposits (6M),liability,200,3.0,bullet_fixed,0.5,2,0.5,0,,,
Term Deposits (1Y),liability,350,3.2,bullet_fixed,1.0,2,1.0,0,,,
"Floating Senior Debt (3Y, semi reset)",liability,300,5.8,bullet_floating,3.0,2,0.5,0,,,
Fixed-Rate Covered Bonds (5Y),liability,300,4.3,bullet_fixed,5.0,2,5.0,0,,,
Fixed-Rate Borrowings (7Y),liability,200,4.5,bullet_fixed,7.0,2,7.0,0,,,
Subordinated Debt (10Y),liability,200,5.0,bullet_fixed,10.0,2,10.0,0,,,
Tier 2 Capital Notes (15Y),liability,100,5.5,bullet_fixed,15.0,2,15.0,0,,,
